total_cov,Frequency,Percent,cum_Frequency,cumPercent
1,4,1.61,4,1.61
2,8,3.23,12,4.84
3,14,5.65,26,10.48
4,24,9.68,50,20.16
5,19,7.66,69,27.82
6,22,8.87,91,36.69
7,18,7.26,109,43.95
8,17,6.85,126,50.81
9,16,6.45,142,57.26
10,20,8.06,162,65.32
11,16,6.45,178,71.77
12,13,5.24,191,77.02
13,12,4.84,203,81.85
14,16,6.45,219,88.31
15,10,4.03,229,92.34
16,2,0.81,231,93.15
17,4,1.61,235,94.76
18,5,2.02,240,96.77
19,1,0.4,241,97.18
20,1,0.4,242,97.58
21,1,0.4,243,97.98
27,2,0.81,245,98.79
29,1,0.4,246,99.19
31,1,0.4,247,99.6
34,1,0.4,248,100
